sep=;
Series;Time;Value
Tube top;2018-07-31T08:00:00+03:00;-100.73461629048093
Tube top;2018-07-31T08:20:00+03:00;-100.75018074656165
Tube top;2018-07-31T08:40:00+03:00;-100.7375618860508
Tube top;2018-07-31T09:00:00+03:00;-100.72459233791804
Tube top;2018-07-31T09:20:00+03:00;-100.73943123772122
Tube top;2018-07-31T09:40:00+03:00;-100.72534675834981
Tube top;2018-07-31T10:00:00+03:00;-100.67082694198608
Tube top;2018-07-31T10:20:00+03:00;-100.63702654867262
Tube top;2018-07-31T10:40:00+03:00;-100.61954330708652
Tube top;2018-07-31T11:00:00+03:00;-100.60333038348104
Tube top;2018-07-31T11:20:00+03:00;-100.58297050147502
Tube top;2018-07-31T11:40:00+03:00;-100.5595791543754
Tube top;2018-07-31T12:00:00+03:00;-100.57494094488182
Tube top;2018-07-31T12:20:00+03:00;-100.53485925196836
Tube top;2018-07-31T12:40:00+03:00;-100.50177384464145
Tube top;2018-07-31T13:00:00+03:00;-100.5214115913556
Tube top;2018-07-31T13:20:00+03:00;-100.51413287401598
Tube top;2018-07-31T13:40:00+03:00;-100.53115422396867
Tube top;2018-07-31T14:00:00+03:00;-100.54495177165376
Tube top;2018-07-31T14:20:00+03:00;-100.54436193293859
Tube top;2018-07-31T14:40:00+03:00;-100.52915992102648
Tube top;2018-07-31T15:00:00+03:00;-100.5085073891626
Tube top;2018-07-31T15:20:00+03:00;-100.51756932153422
Tube top;2018-07-31T15:40:00+03:00;-100.5066555118108
Tube top;2018-07-31T16:00:00+03:00;-100.46632448377586
Tube top;2018-07-31T16:20:00+03:00;-100.44825762045211
Tube top;2018-07-31T16:40:00+03:00;-100.4289999999998
Tube top;2018-07-31T17:00:00+03:00;-100.48806692913378
Tube top;2018-07-31T17:20:00+03:00;-100.46968700787394
Tube top;2018-07-31T17:40:00+03:00;-100.51275492125984
Tube top;2018-07-31T18:00:00+03:00;-100.53141338582672
Tube top;2018-07-31T18:20:00+03:00;-100.54757578740151
Tube top;2018-07-31T18:40:00+03:00;-100.57031496062996
Tube top;2018-07-31T19:00:00+03:00;-100.58451968503957
Tube top;2018-07-31T19:20:00+03:00;-100.58602163225174
Tube top;2018-07-31T19:40:00+03:00;-100.58022068965528
Tube top;2018-07-31T20:00:00+03:00;-100.58282381889777
Tube top;2018-07-31T20:20:00+03:00;-100.59446653543317
Tube top;2018-07-31T20:40:00+03:00;-100.59013877952766
Tube top;2018-07-31T21:00:00+03:00;-100.58671456692898
Tube top;2018-07-31T21:20:00+03:00;-100.58940295566508
Tube top;2018-07-31T21:40:00+03:00;-100.59425196850377
Tube top;2018-07-31T22:00:00+03:00;-100.60041043307123
Tube top;2018-07-31T22:20:00+03:00;-100.59441182266012
Tube top;2018-07-31T22:40:00+03:00;-100.6051702755906
Tube top;2018-07-31T23:00:00+03:00;-100.60089960629948
Tube top;2018-07-31T23:20:00+03:00;-100.60939310344853
Tube top;2018-07-31T23:40:00+03:00;-100.6188367748279
Tube top;2018-08-01T00:00:00+03:00;-100.6364226600986
Tube top;2018-08-01T00:20:00+03:00;-100.62188582677184
Tube top;2018-08-01T00:40:00+03:00;-100.63453346456716
Tube top;2018-08-01T01:00:00+03:00;-100.63221358267731
Tube top;2018-08-01T01:20:00+03:00;-100.63685925196853
Tube top;2018-08-01T01:40:00+03:00;-100.63132578740179
Tube top;2018-08-01T02:00:00+03:00;-100.62855019685044
Tube top;2018-08-01T02:20:00+03:00;-100.61887106299231
Tube top;2018-08-01T02:40:00+03:00;-100.6307881773401
Tube top;2018-08-01T03:00:00+03:00;-100.62980591132988
Tube top;2018-08-01T03:20:00+03:00;-100.63661811023627
Tube top;2018-08-01T03:40:00+03:00;-100.62113287401554
Tube top;2018-08-01T04:00:00+03:00;-100.63173647984266
Tube top;2018-08-01T04:20:00+03:00;-100.63405615763558
Tube top;2018-08-01T04:40:00+03:00;-100.63032350049139
Tube top;2018-08-01T05:00:00+03:00;-100.63334547244095
Tube top;2018-08-01T05:20:00+03:00;-100.62999311023614
Tube top;2018-08-01T05:40:00+03:00;-100.63211602753205
Tube top;2018-08-01T06:00:00+03:00;-100.63309448818895
Tube top;2018-08-01T06:20:00+03:00;-100.62030708661399
Tube top;2018-08-01T06:40:00+03:00;-100.61990462143577
Tube top;2018-08-01T07:00:00+03:00;-100.62505413385841
Tube top;2018-08-01T07:20:00+03:00;-100.62934940944882
Tube top;2018-08-01T07:40:00+03:00;-100.64278838582686
Tube top;2018-08-01T08:00:00+03:00;-100.63385137795267
Tube top;2018-08-01T08:20:00+03:00;-100.651457142857
Tube top;2018-08-01T08:40:00+03:00;-100.67399507873989
Tube top;2018-08-01T09:00:00+03:00;-100.64777854330697
Tube top;2018-08-01T09:20:00+03:00;-100.62907185039393
Tube top;2018-08-01T09:40:00+03:00;-100.57138446411022
Tube top;2018-08-01T10:00:00+03:00;-100.54654429133866
Tube top;2018-08-01T10:20:00+03:00;-100.58166305418717
Tube top;2018-08-01T10:40:00+03:00;-100.56318190757123
Tube top;2018-08-01T11:00:00+03:00;-100.57444433497531
Tube top;2018-08-01T11:20:00+03:00;-100.58289478859386
Tube top;2018-08-01T11:40:00+03:00;-100.60963385826764
Tube top;2018-08-01T12:00:00+03:00;-100.62242716535444
Tube top;2018-08-01T12:20:00+03:00;-100.62891141732275
Tube top;2018-08-01T12:40:00+03:00;-100.65087783251224
Tube top;2018-08-01T13:00:00+03:00;-100.65009645669302
Tube top;2018-08-01T13:20:00+03:00;-100.63923425196867
Tube top;2018-08-01T13:40:00+03:00;-100.63366535433076
Tube top;2018-08-01T14:00:00+03:00;-100.58311897738434
Tube top;2018-08-01T14:20:00+03:00;-100.60864370078745
Tube top;2018-08-01T14:40:00+03:00;-100.61414650934118
Tube top;2018-08-01T15:00:00+03:00;-100.61212094395275
Tube top;2018-08-01T15:20:00+03:00;-100.61144881889761
Tube top;2018-08-01T15:40:00+03:00;-100.62478957718795
Tube top;2018-08-01T16:00:00+03:00;-100.63236909448815
Tube top;2018-08-01T16:20:00+03:00;-100.61271583087503
Tube top;2018-08-01T16:40:00+03:00;-100.61891642084572
Tube top;2018-08-01T17:00:00+03:00;-100.6357529527557
Tube top;2018-08-01T17:20:00+03:00;-100.65698426745345
Tube top;2018-08-01T17:40:00+03:00;-100.67650590551162
Tube top;2018-08-01T18:00:00+03:00;-100.68409055118094
