sep=;
Series;Time;Value
Tube top;2018-07-10T01:30:00+03:00;-98.90351793721973
Tube top;2018-07-10T01:40:00+03:00;-98.95403149606292
Tube top;2018-07-10T01:50:00+03:00;-98.97707874015755
Tube top;2018-07-10T02:00:00+03:00;-99.0309311023624
Tube top;2018-07-10T02:10:00+03:00;-99.09625984251969
Tube top;2018-07-10T02:20:00+03:00;-99.13441929133849
Tube top;2018-07-10T02:30:00+03:00;-99.17197244094496
Tube top;2018-07-10T02:40:00+03:00;-99.21597053045187
Tube top;2018-07-10T02:50:00+03:00;-99.24529388560154
Tube top;2018-07-10T03:00:00+03:00;-99.29748031496068
Tube top;2018-07-10T03:10:00+03:00;-99.33806692913366
Tube top;2018-07-10T03:20:00+03:00;-99.3612868369352
Tube top;2018-07-10T03:30:00+03:00;-99.39916141732306
Tube top;2018-07-10T03:40:00+03:00;-99.42439763779527
Tube top;2018-07-10T03:50:00+03:00;-99.46408070866158
Tube top;2018-07-10T04:00:00+03:00;-99.46821499013816
Tube top;2018-07-10T04:10:00+03:00;-99.49406876227914
Tube top;2018-07-10T04:20:00+03:00;-99.52459842519681
Tube top;2018-07-10T04:30:00+03:00;-99.54390551181105
Tube top;2018-07-10T04:40:00+03:00;-99.56465944881884
Tube top;2018-07-10T04:50:00+03:00;-99.59751574803175
Tube top;2018-07-10T05:00:00+03:00;-99.61137795275593
Tube top;2018-07-10T05:10:00+03:00;-99.63116535433072
Tube top;2018-07-10T05:20:00+03:00;-99.65746850393695
Tube top;2018-07-10T05:30:00+03:00;-99.66843307086619
Tube top;2018-07-10T05:40:00+03:00;-99.67488779527541
Tube top;2018-07-10T05:50:00+03:00;-99.69358661417297
Tube top;2018-07-10T06:00:00+03:00;-99.72307662082514
Tube top;2018-07-10T06:10:00+03:00;-99.72644685039378
Tube top;2018-07-10T06:20:00+03:00;-99.74878740157487
Tube top;2018-07-10T06:30:00+03:00;-99.76289763779492
Tube top;2018-07-10T06:40:00+03:00;-99.76789960629915
Tube top;2018-07-10T06:50:00+03:00;-99.76764763779522
Tube top;2018-07-10T07:00:00+03:00;-99.78886614173219
Tube top;2018-07-10T07:10:00+03:00;-99.80055511811015
Tube top;2018-07-10T07:20:00+03:00;-99.80929527559019
Tube top;2018-07-10T07:30:00+03:00;-99.8215688976378
Tube top;2018-07-10T07:40:00+03:00;-99.82486023622046
Tube top;2018-07-10T07:50:00+03:00;-99.84188779527562
Tube top;2018-07-10T08:00:00+03:00;-99.85844488188995
Tube top;2018-07-10T08:10:00+03:00;-99.86686023622063
Tube top;2018-07-10T08:20:00+03:00;-99.8871794871796
Tube top;2018-07-10T08:30:00+03:00;-99.89898428290763
Tube top;2018-07-10T08:40:00+03:00;-99.90477514792903
Tube top;2018-07-10T08:50:00+03:00;-99.90321021611005
Tube top;2018-07-10T09:00:00+03:00;-99.88872834645687
Tube top;2018-07-10T09:10:00+03:00;-99.89973622047262
Tube top;2018-07-10T09:20:00+03:00;-99.9037263779527
Tube top;2018-07-10T09:30:00+03:00;-99.91918897637795
Tube top;2018-07-10T09:40:00+03:00;-99.91729724409439
Tube top;2018-07-10T09:50:00+03:00;-99.9273831041259
Tube top;2018-07-10T10:00:00+03:00;-99.93348031496058
Tube top;2018-07-10T10:10:00+03:00;-99.95472834645649
Tube top;2018-07-10T10:20:00+03:00;-99.97214763779533
Tube top;2018-07-10T10:30:00+03:00;-99.94436417322854
Tube top;2018-07-10T10:40:00+03:00;-99.9248664047149
Tube top;2018-07-10T10:50:00+03:00;-99.94033070866134
Tube top;2018-07-10T11:00:00+03:00;-99.95278740157465
Tube top;2018-07-10T11:10:00+03:00;-99.97263654223961
Tube top;2018-07-10T11:20:00+03:00;-99.99682642998005
Tube top;2018-07-10T11:30:00+03:00;-100.00197637795274
Tube top;2018-07-10T11:40:00+03:00;-99.99930058939132
Tube top;2018-07-10T11:50:00+03:00;-99.97994685039379
Tube top;2018-07-10T12:00:00+03:00;-99.99033070866155
Tube top;2018-07-10T12:10:00+03:00;-99.98868172888034
Tube top;2018-07-10T12:20:00+03:00;-99.94615581854033
Tube top;2018-07-10T12:30:00+03:00;-99.9232066929135
Tube top;2018-07-10T12:40:00+03:00;-99.89277755905498
Tube top;2018-07-10T12:50:00+03:00;-99.90202755905517
Tube top;2018-07-10T13:00:00+03:00;-99.90204921259861
Tube top;2018-07-10T13:10:00+03:00;-99.91895472440964
Tube top;2018-07-10T13:20:00+03:00;-99.92249705304522
Tube top;2018-07-10T13:30:00+03:00;-99.94015748031488
Tube top;2018-07-10T13:40:00+03:00;-99.9641653543308
Tube top;2018-07-10T13:50:00+03:00;-100.0147263779525
Tube top;2018-07-10T14:00:00+03:00;-100.01651377952754
Tube top;2018-07-10T14:10:00+03:00;-100.02079330708673
Tube top;2018-07-10T14:20:00+03:00;-100.00989370078713
Tube top;2018-07-10T14:30:00+03:00;-100.0048661417322
Tube top;2018-07-10T14:40:00+03:00;-99.98557480314966
Tube top;2018-07-10T14:50:00+03:00;-99.99198228346454
Tube top;2018-07-10T15:00:00+03:00;-99.99665354330709
Tube top;2018-07-10T15:10:00+03:00;-99.99495669291343
Tube top;2018-07-10T15:20:00+03:00;-100.00732480314967
Tube top;2018-07-10T15:30:00+03:00;-100.00913976377953
Tube top;2018-07-10T15:40:00+03:00;-100.03489173228333
Tube top;2018-07-10T15:50:00+03:00;-100.03046168958741
Tube top;2018-07-10T16:00:00+03:00;-100.03320669291342
Tube top;2018-07-10T16:10:00+03:00;-100.05398619329381
Tube top;2018-07-10T16:20:00+03:00;-100.04663261296643
Tube top;2018-07-10T16:30:00+03:00;-100.05888976377997
Tube top;2018-07-10T16:40:00+03:00;-100.05522440944875
Tube top;2018-07-10T16:50:00+03:00;-100.05202755905496
Tube top;2018-07-10T17:00:00+03:00;-100.04549212598411
Tube top;2018-07-10T17:10:00+03:00;-100.03110236220493
Tube top;2018-07-10T17:20:00+03:00;-100.02944488188989
Tube top;2018-07-10T17:30:00+03:00;-100.02981102362189
Tube top;2018-07-10T17:40:00+03:00;-100.0415728346458
Tube top;2018-07-10T17:50:00+03:00;-100.06908267716538
Tube top;2018-07-10T18:00:00+03:00;-100.05846653543303
